Name,Alternating,Unknotting Number
12a_490,Y,3
12a_491,Y,2
12a_492,Y,2
12a_493,Y,[2;3]
12a_494,Y,[2;3]
12a_495,Y,2
12a_496,Y,[2;3]
12a_497,Y,1
12a_498,Y,1
12a_499,Y,2
12a_500,Y,2
12a_501,Y,2
12a_502,Y,3
12a_503,Y,2
12a_504,Y,2
12a_505,Y,2
12a_506,Y,2
12a_507,Y,3
12a_508,Y,[2;3]
12a_509,Y,1
12a_510,Y,2
12a_511,Y,2
12a_512,Y,2
12a_513,Y,2
12a_514,Y,2
12a_515,Y,2
12a_516,Y,2
12a_517,Y,2
12a_518,Y,2
12a_519,Y,3
12a_520,Y,2
12a_521,Y,2
12a_522,Y,2
12a_523,Y,2
12a_524,Y,1
12a_525,Y,2
12a_526,Y,2
12a_527,Y,2
12a_528,Y,2
12a_529,Y,2
12a_530,Y,2
12a_531,Y,2
12a_532,Y,2
12a_533,Y,[2;3]
12a_534,Y,2
12a_535,Y,1
12a_536,Y,2
12a_537,Y,1
12a_538,Y,3
12a_539,Y,2
12a_540,Y,2
12a_541,Y,2
12a_542,Y,2
12a_543,Y,2
12a_544,Y,[2;3]
12a_545,Y,[2;3]
12a_546,Y,2
12a_547,Y,2
12a_548,Y,2
12a_549,Y,2
12a_550,Y,2
12a_551,Y,1
12a_552,Y,2
12a_553,Y,[2;3]
12a_554,Y,3
12a_555,Y,2
12a_556,Y,[2;3]
12a_557,Y,2
12a_558,Y,2
12a_559,Y,1
12a_560,Y,1
12a_561,Y,3
12a_562,Y,2
12a_563,Y,3
12a_564,Y,2
12a_565,Y,2
12a_566,Y,2
12a_567,Y,2
