Name,Unknotting Number
12a_821,1
12a_822,3
12a_823,2
12a_824,[2;3]
12a_825,[2;3]
12a_826,[2;3]
12a_827,[2;3]
12a_828,[3;4]
12a_829,3
12a_830,2
12a_831,2
12a_832,3
12a_833,2
12a_834,2
12a_835,[2;3]
12a_836,2
12a_837,2
12a_838,4
12a_839,3
12a_840,3
12a_841,[2;3]
12a_842,2
12a_843,2
12a_844,2
12a_845,[2;3]
12a_846,2
12a_847,2
12a_848,2
12a_849,1
12a_850,2
12a_851,1
12a_852,2
12a_853,2
12a_854,2
12a_855,2
12a_856,2
12a_857,1
12a_858,1
12a_859,3
12a_860,2
12a_861,2
12a_862,[2;3]
12a_863,2
12a_864,1
12a_865,1
12a_866,2
12a_867,2
12a_868,2
12a_869,[2;3]
12a_870,2
12a_871,2
12a_872,2
12a_873,2
12a_874,2
12a_875,1
12a_876,4
12a_877,[3;4]
12a_878,[2;3]
12a_879,[2;3]
12a_880,[2;3]
12a_881,[2;3]
12a_882,2
12a_883,2
12a_884,2
12a_885,2
12a_886,[2;3]
12a_887,1
12a_888,1
12a_889,2
12a_890,2
12a_891,2
12a_892,2
12a_893,1
12a_894,2
12a_895,2
12a_896,[2;3]
12a_897,2
12a_898,[2;3]
12a_899,[2;3]
12a_900,[3;4]
12a_901,[2;3]
12a_902,2
12a_903,2
12a_904,2
12a_905,2
12a_906,2
12a_907,3
12a_908,2
12a_909,2
12a_910,2
12a_911,[2;3]
12a_912,[2;3]
12a_913,2
12a_914,2
12a_915,2
12a_916,[2;3]
12a_917,2
12a_918,2
12a_919,1
12a_920,2
12a_921,3
12a_922,2
12a_923,3
12a_924,2
12a_925,2
12a_926,2
12a_927,2
12a_928,1
12a_929,2
12a_930,3
12a_931,2
12a_932,2
12a_933,2
12a_934,2
12a_935,1
12a_936,2
12a_937,3
12a_938,[2;3]
12a_939,2
12a_940,[2;3]
12a_941,2
12a_942,2
12a_943,2
12a_944,1
12a_945,2
12a_946,3
12a_947,[2;3]
12a_948,2
12a_949,2
12a_950,2
12a_951,2
12a_952,3
12a_953,2
12a_954,1
12a_955,2
12a_956,2
12a_957,[2;3]
12a_958,2
12a_959,2
12a_960,2
12a_961,2
12a_962,2
12a_963,2
12a_964,2
12a_965,2
12a_966,1
12a_967,[2;3]
12a_968,2
12a_969,2
12a_970,2
12a_971,2
12a_972,2
12a_973,[3;4]
12a_974,[2;3]
12a_975,2
12a_976,1
12a_977,3
12a_978,[2;3]
12a_979,2
12a_980,2
12a_981,[2;3]
12a_982,2
12a_983,[2;3]
12a_984,3
12a_985,[2;3]
12a_986,2
12a_987,2
12a_988,[2;3]
12a_989,[2;3]
12a_990,2
12a_991,2
12a_992,2
12a_993,1
12a_994,2
12a_995,[3;4]
12a_996,[2;3]
12a_997,2
12a_998,1
12a_999,[2;3]
12a_1000,[2;3]
12a_1001,2
12a_1002,2
12a_1003,2
12a_1004,[3;4]
12a_1005,1
12a_1006,2
12a_1007,2
12a_1008,1
12a_1009,[2;3]
12a_1010,2
12a_1011,1
12a_1012,2
12a_1013,2
12a_1014,2
12a_1015,2
12a_1016,[2;3]
12a_1017,[2;3]
12a_1018,2
12a_1019,2
12a_1020,2
12a_1021,2
12a_1022,2
12a_1023,1
12a_1024,2
12a_1025,2
12a_1026,2
12a_1027,2
12a_1028,[2;3]
12a_1029,2
12a_1030,2
12a_1031,[2;3]
12a_1032,2
12a_1033,2
12a_1034,1
12a_1035,[3;4]
12a_1036,3
12a_1037,[2;4]
12a_1038,2
12a_1039,[2;3]
12a_1040,[2;3]
12a_1041,2
12a_1042,2
12a_1043,2
12a_1044,2
12a_1045,2
12a_1046,2
12a_1047,2
12a_1048,1
12a_1049,2
12a_1050,[2;3]
12a_1051,2
12a_1052,2
12a_1053,2
12a_1054,2
12a_1055,2
12a_1056,1
